age,loan_amt,is_idp,loan_amt_left,occp,family_income,educ,hh_size,grad_age
41,30000,0,15000,1,34000,11,2,40
41,30000,0,15000,1,33000,11,2,40
41,30000,0,15000,1,33000,11,2,40
41,30000,0,15000,1,33000,11,2,40
41,30000,0,15000,1,33000,11,2,40
25,6000,0,5000,4,35000,5,4,19
25,6000,0,5000,4,35000,5,4,19
25,6000,0,5000,4,35000,5,4,19
25,6000,0,5000,4,35000,5,4,19
25,6000,0,5000,4,35000,5,4,19
45,34000,1,28000,1,42000,10,2,38
45,34000,1,28000,1,44000,10,2,38
45,34000,1,28000,1,30000,10,2,38
45,34000,1,28000,1,45000,10,2,38
45,34000,1,28000,1,42000,10,2,38
52,5000,0,2000,0,2700,9,1,40
52,5000,0,2000,0,2700,9,1,40
52,5000,0,2000,0,2700,9,1,40
52,5000,0,2000,0,2700,9,1,40
52,5000,0,2000,0,2700,9,1,40
45,80000,0,18000,2,15000,14,4,28
45,80000,0,18000,2,15000,14,4,28
45,80000,0,18000,2,15000,14,4,28
45,80000,0,18000,2,15000,14,4,28
45,80000,0,18000,2,15000,14,4,28
41,20000,0,10000,1,0,12,1,37
41,20000,0,10000,1,0,12,1,37
41,20000,0,10000,1,0,12,1,37
41,20000,0,10000,1,0,12,1,37
41,20000,0,10000,1,0,12,1,37
39,30000,0,6000,3,0,12,5,24
39,30000,0,6000,3,0,12,5,24
39,30000,0,6000,3,0,12,5,24
39,30000,0,6000,3,0,12,5,24
39,30000,0,6000,3,0,12,5,24
35,17000,1,16000,0,100000,12,2,36
35,17000,1,16000,0,100000,12,2,36
35,17000,1,16000,0,100000,12,2,36
35,17000,1,16000,0,100000,12,2,36
35,17000,1,16000,0,100000,12,2,36
30,38000,1,35000,1,35000,12,3,24
30,37000,1,35000,1,35000,12,3,24
30,37000,1,35000,1,35000,12,3,24
30,37000,1,35000,1,35000,12,3,24
30,38000,1,35000,1,35000,12,3,24
31,15000,0,3000,4,80000,11,1,23
31,15000,0,3000,4,80000,11,1,23
31,15000,0,3000,4,80000,11,1,23
31,15000,0,3000,4,80000,11,1,23
31,15000,0,3000,4,80000,11,1,23
30,15000,1,30000,2,25000,12,1,26
30,15000,1,30000,2,25000,12,1,26
30,15000,1,30000,2,25000,12,1,26
30,15000,1,30000,2,25000,12,1,26
30,15000,1,30000,2,25000,12,1,26
39,40000,0,19000,0,105000,12,3,29
39,40000,0,19000,0,84000,12,3,29
39,40000,0,19000,0,102000,12,3,29
39,40000,0,19000,0,102000,12,3,29
39,40000,0,19000,0,92000,12,3,29
46,35000,0,23000,1,64000,12,1,39
46,35000,0,23000,1,64000,12,1,39
46,35000,0,23000,1,64000,12,1,39
46,35000,0,23000,1,64000,12,1,39
46,35000,0,23000,1,64000,12,1,39
27,5000,1,4000,2,14000,8,5,20
27,5000,1,4000,2,14000,8,5,20
27,5000,1,4000,2,14000,8,5,20
27,5000,1,4000,2,14000,8,5,20
27,5000,1,4000,2,14000,8,5,20
50,32000,0,22000,3,28000,10,2,45
50,32000,0,22000,3,28000,10,2,45
50,32000,0,22000,3,27000,10,2,45
50,32000,0,22000,3,28000,10,2,45
50,32000,0,22000,3,28000,10,2,45
27,20000,1,8000,1,108000,9,2,20
27,20000,1,8000,1,108000,9,2,20
27,20000,1,8000,1,108000,9,2,20
27,20000,1,8000,1,108000,9,2,20
27,20000,1,8000,1,108000,9,2,20
35,25000,0,16000,1,61000,12,2,22
35,25000,0,16000,1,61000,12,2,22
35,25000,0,17000,1,61000,12,2,22
35,25000,0,17000,1,61000,12,2,22
35,25000,0,16000,1,61000,12,2,22
28,50000,1,47000,1,44000,13,2,25
28,50000,1,47000,1,40000,13,2,25
28,50000,1,47000,1,42000,13,2,25
28,50000,1,47000,1,41000,13,2,25
28,50000,1,47000,1,43000,13,2,25
37,14000,1,10000,0,107000,13,2,29
37,14000,1,10000,0,107000,13,2,29
37,14000,1,10000,0,107000,13,2,29
37,14000,1,10000,0,107000,13,2,29
37,14000,1,10000,0,107000,13,2,29
27,30000,0,15000,1,76000,12,1,22
27,30000,0,15000,1,76000,12,1,22
27,30000,0,15000,1,76000,12,1,22
27,30000,0,15000,1,76000,12,1,22
27,30000,0,15000,1,76000,12,1,22
29,60000,0,32000,1,105000,13,2,25
29,60000,0,40000,1,105000,13,2,25
29,60000,0,43000,1,105000,13,2,25
29,60000,0,32000,1,105000,13,2,25
29,60000,0,40000,1,105000,13,2,25
32,3900,1,160,3,89000,13,5,26
32,3900,1,160,3,91000,13,5,26
32,4600,1,160,3,94000,13,5,26
32,4100,1,170,3,97000,13,5,26
32,5000,1,170,3,93000,13,5,26
33,1800,1,810,2,21000,9,5,25
33,1800,1,810,2,21000,9,5,25
33,1800,1,800,2,21000,9,5,25
33,1800,1,800,2,21000,9,5,25
33,1800,1,810,2,21000,9,5,25
42,40000,1,19000,1,57000,12,5,26
42,40000,1,19000,1,56000,12,5,26
42,40000,1,19000,1,56000,12,5,26
42,40000,1,19000,1,56000,12,5,26
42,40000,1,19000,1,57000,12,5,26
34,10000,1,8000,1,56000,10,2,32
34,10000,1,8000,1,56000,10,2,32
34,10000,1,8000,1,56000,10,2,32
34,10000,1,8000,1,56000,10,2,32
34,10000,1,8000,1,56000,10,2,32
37,63000,1,80000,1,40000,13,1,28
37,63000,1,80000,1,40000,13,1,28
37,63000,1,80000,1,40000,13,1,28
37,63000,1,80000,1,40000,13,1,28
37,63000,1,80000,1,40000,13,1,28
31,75000,1,80000,1,40000,13,2,26
31,75000,1,80000,1,40000,13,2,26
31,75000,1,80000,1,39000,13,2,26
31,75000,1,80000,1,40000,13,2,26
31,75000,1,80000,1,39000,13,2,26
30,70000,0,26000,1,80000,12,1,21
30,70000,0,26000,1,80000,12,1,21
30,70000,0,26000,1,80000,12,1,21
30,70000,0,26000,1,80000,12,1,21
30,70000,0,26000,1,80000,12,1,21
44,33000,1,30000,4,77000,10,3,40
44,33000,1,30000,4,90000,10,3,40
44,33000,1,30000,4,76000,10,3,40
44,33000,1,30000,4,76000,10,3,40
44,33000,1,30000,4,91000,10,3,40
40,19000,1,7000,2,50000,12,1,23
40,19000,1,7000,2,50000,12,1,23
40,19000,1,7000,2,50000,12,1,23
40,19000,1,7000,2,50000,12,1,23
40,19000,1,7000,2,50000,12,1,23
46,10000,1,5500,2,75000,12,5,31
46,10000,1,6100,2,75000,12,5,31
46,10000,1,6800,2,75000,12,5,31
46,10000,1,6800,2,75000,12,5,31
46,10000,1,5400,2,75000,12,5,31
62,10000,1,800,2,70000,11,4,48
62,10000,1,800,2,70000,11,4,48
62,10000,1,800,2,70000,11,4,48
62,10000,1,800,2,70000,11,4,48
62,10000,1,800,2,70000,11,4,48
40,47000,1,34000,1,24000,12,4,25
40,47000,1,34000,1,24000,12,4,25
40,47000,1,34000,1,24000,12,4,25
40,47000,1,34000,1,24000,12,4,25
40,47000,1,34000,1,24000,12,4,25
27,48000,0,40000,1,35000,12,1,23
27,48000,0,42000,1,35000,12,1,23
27,48000,0,27000,1,35000,12,1,23
27,48000,0,41000,1,35000,12,1,23
27,48000,0,28000,1,35000,12,1,23
40,10000,1,7900,3,39000,9,2,27
40,10000,1,7900,3,39000,9,2,27
40,10000,1,7900,3,39000,9,2,27
40,10000,1,7900,3,39000,9,2,27
40,10000,1,7900,3,39000,9,2,27
36,33000,1,26000,2,176000,13,3,26
36,33000,1,26000,2,176000,13,3,26
36,33000,1,26000,2,176000,13,3,26
36,33000,1,26000,2,175000,13,3,26
36,33000,1,26000,2,175000,13,3,26
24,40000,1,38000,2,29000,12,1,22
24,40000,1,38000,2,29000,12,1,22
24,40000,1,38000,2,29000,12,1,22
24,40000,1,38000,2,29000,12,1,22
24,40000,1,38000,2,29000,12,1,22
34,9800,1,4600,0,0,10,3,24
34,9800,1,4600,0,0,10,3,24
34,9800,1,4600,0,0,10,3,24
34,9900,1,4600,0,0,10,3,24
34,9900,1,4600,0,0,10,3,24
36,200000,0,150000,1,400000,14,4,25
36,200000,0,150000,1,400000,14,4,25
36,200000,0,150000,1,400000,14,4,25
36,200000,0,150000,1,400000,14,4,25
36,200000,0,150000,1,400000,14,4,25
41,85000,0,40000,1,70000,13,3,28
41,85000,0,40000,1,70000,13,3,28
41,85000,0,40000,1,70000,13,3,28
41,85000,0,40000,1,70000,13,3,28
41,85000,0,40000,1,70000,13,3,28
34,20000,0,16000,1,147000,12,4,33
34,20000,0,16000,1,138000,12,4,33
34,20000,0,16000,1,121000,12,4,33
34,20000,0,16000,1,120000,12,4,33
34,20000,0,16000,1,134000,12,4,33
40,17000,1,17000,1,28000,9,4,27
40,17000,1,17000,1,28000,9,4,27
40,17000,1,17000,1,28000,9,4,27
40,17000,1,17000,1,28000,9,4,27
40,17000,1,17000,1,28000,9,4,27
51,75000,1,75000,1,44000,12,2,42
51,75000,1,75000,1,44000,12,2,42
51,75000,1,75000,1,44000,12,2,42
51,75000,1,75000,1,44000,12,2,42
51,75000,1,75000,1,44000,12,2,42
42,40000,0,13000,1,282000,13,4,25
42,40000,0,12000,1,282000,13,4,25
42,40000,0,13000,1,281000,13,4,25
